,vocab_size,emb_dim,max_sent_length,learning_rate,val_acc,,,,,,
100,10000,50,1000,0.001,88.88,,,,,,
55,5000,50,1000,0.001,88.56,,,,,,
90,10000,50,200,0.001,88.24,,,,,,
95,10000,50,500,0.001,88.18,,,,,,
45,5000,50,200,0.001,87.96,,,,,,
50,5000,50,500,0.001,87.94,,,,,,
65,5000,100,500,0.001,87.86,,,,,,
70,5000,100,1000,0.001,87.78,,,,,,
110,10000,100,500,0.001,87.74,,,,,,
105,10000,100,200,0.001,87.7,,,,,,
115,10000,100,1000,0.001,87.68,,,,,,
60,5000,100,200,0.001,87.5,,,,,,
85,5000,500,1000,0.001,86.8,,,,,,
80,5000,500,500,0.001,86.72,,,,,,
125,10000,500,500,0.001,86.72,,,,,,
130,10000,500,1000,0.001,86.68,,,,,,
75,5000,500,200,0.001,86.24,,,,,,
120,10000,500,200,0.001,86.24,,,,,,
96,10000,50,500,0.005,86,,,,,,
116,10000,100,1000,0.005,85.96,,,,,,
101,10000,50,1000,0.005,85.84,,,,,,
56,5000,50,1000,0.005,85.74,,,,,,
91,10000,50,200,0.005,85.74,,,,,,
119,10000,100,1000,0.1,85.72,,,,,,
102,10000,50,1000,0.01,85.62,,,,,,
87,5000,500,1000,0.01,85.58,,,,,,
126,10000,500,500,0.005,85.58,,,,,,
53,5000,50,500,0.05,85.56,,,,,,
111,10000,100,500,0.005,85.56,,,,,,
134,10000,500,1000,0.1,85.56,,,,,,
99,10000,50,500,0.1,85.54,,,,,,
52,5000,50,500,0.01,85.5,,,,,,
67,5000,100,500,0.01,85.5,,,,,,
66,5000,100,500,0.005,85.48,,,,,,
122,10000,500,200,0.01,85.44,,,,,,
61,5000,100,200,0.005,85.42,,,,,,
97,10000,50,500,0.01,85.38,,,,,,
71,5000,100,1000,0.005,85.34,,,,,,
131,10000,500,1000,0.005,85.34,,,,,,
51,5000,50,500,0.005,85.3,,,,,,
113,10000,100,500,0.05,85.28,,,,,,
57,5000,50,1000,0.01,85.26,,,,,,
124,10000,500,200,0.1,85.24,,,,,,
133,10000,500,1000,0.05,85.24,,,,,,
48,5000,50,200,0.05,85.2,,,,,,
117,10000,100,1000,0.01,85.2,,,,,,
46,5000,50,200,0.005,85.18,,,,,,
114,10000,100,500,0.1,85.14,,,,,,
10,1000,50,1000,0.001,85.12,,,,,,
98,10000,50,500,0.05,85.12,,,,,,
107,10000,100,200,0.01,85.12,,,,,,
84,5000,500,500,0.1,85.1,,,,,,
123,10000,500,200,0.05,85.1,,,,,,
74,5000,100,1000,0.1,85.06,,,,,,
5,1000,50,500,0.001,85.04,,,,,,
47,5000,50,200,0.01,85.04,,,,,,
86,5000,500,1000,0.005,85.04,,,,,,
93,10000,50,200,0.05,85.04,,,,,,
127,10000,500,500,0.01,85.04,,,,,,
81,5000,500,500,0.005,85.02,,,,,,
129,10000,500,500,0.1,85.02,,,,,,
63,5000,100,200,0.05,85,,,,,,
68,5000,100,500,0.05,85,,,,,,
25,1000,100,1000,0.001,84.98,,,,,,
72,5000,100,1000,0.01,84.98,,,,,,
11,1000,50,1000,0.005,84.96,,,,,,
20,1000,100,500,0.001,84.96,,,,,,
77,5000,500,200,0.01,84.96,,,,,,
94,10000,50,200,0.1,84.96,,,,,,
104,10000,50,1000,0.1,84.96,,,,,,
132,10000,500,1000,0.01,84.94,,,,,,
62,5000,100,200,0.01,84.92,,,,,,
82,5000,500,500,0.01,84.92,,,,,,
92,10000,50,200,0.01,84.9,,,,,,
112,10000,100,500,0.01,84.9,,,,,,
128,10000,500,500,0.05,84.9,,,,,,
121,10000,500,200,0.005,84.88,,,,,,
76,5000,500,200,0.005,84.86,,,,,,
106,10000,100,200,0.005,84.86,,,,,,
118,10000,100,1000,0.05,84.86,,,,,,
36,1000,500,500,0.005,84.82,,,,,,
35,1000,500,500,0.001,84.78,,,,,,
103,10000,50,1000,0.05,84.78,,,,,,
26,1000,100,1000,0.005,84.76,,,,,,
12,1000,50,1000,0.01,84.72,,,,,,
22,1000,100,500,0.01,84.72,,,,,,
109,10000,100,200,0.1,84.7,,,,,,
6,1000,50,500,0.005,84.66,,,,,,
58,5000,50,1000,0.05,84.66,,,,,,
88,5000,500,1000,0.05,84.66,,,,,,
73,5000,100,1000,0.05,84.62,,,,,,
0,1000,50,200,0.001,84.58,,,,,,
79,5000,500,200,0.1,84.58,,,,,,
89,5000,500,1000,0.1,84.56,,,,,,
7,1000,50,500,0.01,84.54,,,,,,
16,1000,100,200,0.005,84.54,,,,,,
69,5000,100,500,0.1,84.52,,,,,,
1,1000,50,200,0.005,84.48,,,,,,
15,1000,100,200,0.001,84.46,,,,,,
27,1000,100,1000,0.01,84.44,,,,,,
54,5000,50,500,0.1,84.44,,,,,,
30,1000,500,200,0.001,84.42,,,,,,
37,1000,500,500,0.01,84.42,,,,,,
21,1000,100,500,0.005,84.4,,,,,,
2,1000,50,200,0.01,84.36,,,,,,
108,10000,100,200,0.05,84.36,,,,,,
83,5000,500,500,0.05,84.3,,,,,,
41,1000,500,1000,0.005,84.26,,,,,,
17,1000,100,200,0.01,84.24,,,,,,
8,1000,50,500,0.05,84.22,,,,,,
49,5000,50,200,0.1,84.2,,,,,,
59,5000,50,1000,0.1,84.18,,,,,,
64,5000,100,200,0.1,84.06,,,,,,
13,1000,50,1000,0.05,83.94,,,,,,
42,1000,500,1000,0.01,83.94,,,,,,
78,5000,500,200,0.05,83.92,,,,,,
31,1000,500,200,0.005,83.68,,,,,,
32,1000,500,200,0.01,83.68,,,,,,
3,1000,50,200,0.05,83.54,,,,,,
28,1000,100,1000,0.05,83,,,,,,
18,1000,100,200,0.05,82.96,,,,,,
4,1000,50,200,0.1,82.62,,,,,,
40,1000,500,1000,0.001,82.28,,,,,,
9,1000,50,500,0.1,81.96,,,,,,
23,1000,100,500,0.05,81.68,,,,,,
43,1000,500,1000,0.05,81.3,,,,,,
38,1000,500,500,0.05,80.5,,,,,,
24,1000,100,500,0.1,80.14,,,,,,
14,1000,50,1000,0.1,79.9,,,,,,
29,1000,100,1000,0.1,79.12,,,,,,
44,1000,500,1000,0.1,78.8,,,,,,
39,1000,500,500,0.1,78.74,,,,,,
34,1000,500,200,0.1,78.42,,,,,,
33,1000,500,200,0.05,78.18,,,,,,
19,1000,100,200,0.1,76.54,,,,,,
